epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,933.219,1.8133,7.76906,0.01115,0.67307,0.27904,0.27292,0.12124,1.58448,6.15194,0.01717,0.000415948,0.000415948,0.000415948
2,1711.69,1.78772,4.83978,0.01118,0.694,0.25887,0.27735,0.13227,1.57051,3.92429,0.01745,0.000791401,0.000791401,0.000791401
3,2503.89,1.86908,3.37756,0.01187,0.74006,0.305,0.35136,0.13791,1.73737,3.06743,0.02267,0.0011256,0.0011256,0.0011256
4,3346.03,1.89439,2.8123,0.01219,0.48802,0.48746,0.46338,0.20957,1.73569,2.73295,0.02249,0.00106437,0.00106437,0.00106437
